title,link,category,description,telephone,address,roadAddress,mapx,mapy,dong,category_keyword
슈가코인노래연습장 공덕점,http://m.facebook.com/sugarcoin1,오락시설>노래방,,,서울특별시 마포구 공덕동 105-159 지하 1층,서울특별시 마포구 마포대로 180 지하 1층,1269555073,375501823,공덕동,오락실
뮤즈코인노래연습장,,오락시설>노래방,,,서울특별시 마포구 신공덕동 20-18 지하1층,서울특별시 마포구 백범로37길 22 지하1층,1269548139,375440661,공덕동,오락실
클럽스트라이크 <b>볼링장</b>,https://blog.naver.com/strikepub,"스포츠,오락>볼링장",,,서울특별시 마포구 도화동 36 4층 클럽스트라이크 볼링장,서울특별시 마포구 마포대로 52 4층 클럽스트라이크 볼링장,1269476654,375403280,공덕동,볼링장
뉴청룡<b>볼링장</b>,,"스포츠,오락>볼링장",,,서울특별시 용산구 갈월동 98-38 청룡빌딩 지하1층,서울특별시 용산구 한강대로 257 청룡빌딩 지하1층,1269726390,375413560,공덕동,볼링장
타겟볼링,,"스포츠,오락>볼링장",,,서울특별시 서대문구 대현동 101-7 혜우빌딩 지하1층,서울특별시 서대문구 신촌역로 10 혜우빌딩 지하1층,1269430720,375575890,공덕동,볼링장
월드스포츠가인볼링센타 신촌점,https://www.instagram.com/gain_bowling_sinchon,"스포츠,오락>볼링장",,,서울특별시 서대문구 대현동 145 지하2층,서울특별시 서대문구 이화여대1길 10 지하2층,1269447949,375577467,공덕동,볼링장
중앙샌딩,http://bowlingjungang.com/,건설업>건물건설,,,서울특별시 마포구 신수동 62-42,서울특별시 마포구 대흥로11길 9,1269386902,375451071,공덕동,볼링장
룸익스케이프 화이트점,http://ex-cape.com,방탈출카페,,,서울특별시 서대문구 창천동 5-21 2층,서울특별시 서대문구 명물길 66 2층,1269398764,375589378,공덕동,방탈출
룸익스케이프 블랙점,http://ex-cape.com,방탈출카페,,,서울특별시 서대문구 창천동 18-11 3층,서울특별시 서대문구 연세로4길 6 3층,1269373730,375569222,공덕동,방탈출
신촌<b>방탈출</b>ESC,http://roomescape.net/,방탈출카페,,,서울특별시 서대문구 창천동 13-2 준성빌딩,서울특별시 서대문구 명물길 32 준성빌딩,1269384382,375580769,공덕동,방탈출
나의신방,https://나의신방.com/layout/res/home.php?go=main,방탈출카페,,,서울특별시 서대문구 창천동 57-3 3층,서울특별시 서대문구 연세로5가길 8-3 3층,1269361822,375574664,공덕동,방탈출
클레버타운,https://clevertown.co.kr/,방탈출카페,,,서울특별시 서대문구 창천동 31-20 3층,서울특별시 서대문구 연세로 30 3층,1269371072,375582486,공덕동,방탈출
<b>보드게임카페</b> 레드버튼 신촌점,http://www.redbutton.co.kr,"스포츠,오락>보드카페",,,서울특별시 서대문구 창천동 18-31 3층,서울특별시 서대문구 연세로 8 3층,1269371132,375562007,공덕동,보드게임카페
더홀릭<b>보드게임카페</b> 신촌점,https://www.instagram.com/theholic_sc,"스포츠,오락>보드카페",,,"서울특별시 서대문구 창천동 18-55 4, 5층","서울특별시 서대문구 연세로 10-1 4, 5층",1269371419,375565000,공덕동,보드게임카페
히어로<b>보드게임카페</b> 신촌점,https://funhero.co.kr,"스포츠,오락>보드카페",,,서울특별시 서대문구 창천동 31-80 3층,서울특별시 서대문구 명물길 23 3층,1269378832,375581830,공덕동,보드게임카페
데블다이스 <b>보드게임카페</b> 신촌점,http://www.cafedevildice.co.kr,"스포츠,오락>보드카페",,,서울특별시 서대문구 창천동 57-8 계림빌딩 5층,서울특별시 서대문구 연세로5가길 1 계림빌딩 5층,1269361014,375570560,공덕동,보드게임카페
히어로<b>보드게임카페</b> 숙명여대점,https://www.instagram.com/hero_smu,"스포츠,오락>보드카페",,,서울특별시 용산구 청파동3가 111-9 7층,서울특별시 용산구 청파로47길 49 7층,1269675618,375445888,공덕동,보드게임카페
공덕<b>당구장</b>,,"스포츠,오락>당구장",,,서울특별시 마포구 공덕동 256-10 2층,서울특별시 마포구 만리재로 19 2층,1269532518,375447948,공덕동,당구장
제일플러스,,"스포츠,오락>당구장",,,서울특별시 마포구 공덕동 256-13,서울특별시 마포구 만리재로 15,1269527595,375445786,공덕동,당구장
준당구클럽,https://blog.naver.com/adress007,"스포츠,오락>당구장",,,서울특별시 마포구 공덕동 105-238 2층,서울특별시 마포구 마포대로14길 11 2층,1269560078,375486705,공덕동,당구장
제일<b>당구장</b>,,"스포츠,오락>당구장",,,서울특별시 마포구 공덕동 256-30,서울특별시 마포구 만리재옛길 1,1269540344,375448051,공덕동,당구장
BTC 당구클럽,https://blog.naver.com/highrun13,"스포츠,오락>당구장",,,서울특별시 마포구 공덕동 105-163 영지공덕빌딩,서울특별시 마포구 마포대로 180-13 영지공덕빌딩,1269560684,375500800,공덕동,당구장
벌툰 엔틱 신촌직영점,https://www.instagram.com/beoltoon_sinchon,"스포츠,오락>만화방",,,서울특별시 서대문구 창천동 57-3 4층,서울특별시 서대문구 연세로5가길 8-3 4층,1269361877,375574040,공덕동,만화카페
